directors,numberall,runtimeminutes,averagerating,numvotes
nm0001016,2,92.0,5.90,307
nm0001023,12,122.9,7.28,88490
nm0001024,8,110.9,6.63,962684
nm0001031,59,105.9,6.43,99609
nm0001040,2,101.0,6.60,27842
nm0001045,6,87.8,5.80,66624
nm0001047,8,136.6,6.59,376644
nm0001053,20,108.7,7.31,4469320
nm0001054,20,108.7,7.31,4469320
nm0001060,16,118.9,6.59,2816472
nm0001063,1,85.0,3.10,390
nm0001064,5,94.6,4.50,13178
nm0001066,1,88.0,5.50,42
nm0001067,1,70.0,6.60,12
nm0001068,8,104.9,6.46,839227
nm0001069,1,100.0,5.10,201
nm0001070,1,105.0,8.20,3406
nm0001073,1,95.0,6.40,17562
nm0001075,1,,7.10,58
nm0001081,10,117.4,7.06,1115851
nm0001084,1,104.0,5.90,6278
nm0001086,2,104.0,5.35,8757
nm0001090,100,89.4,4.83,43844
nm0001092,1,86.0,2.40,1639
nm0001093,8,107.8,6.68,293666
nm0001097,1,104.0,7.00,10671
nm0001099,2,92.0,5.45,2586
nm0001102,19,116.6,6.32,699118
nm0001104,4,152.3,7.98,3761807
nm0001108,2,96.0,4.65,509
nm0001112,13,110.1,6.25,747816
nm0001115,5,94.0,6.38,2447
nm0001120,33,100.0,6.87,236237
nm0001123,1,91.0,6.60,991
nm0001124,73,91.0,6.34,123182
nm0001125,1,129.0,6.10,3746
nm0001128,3,108.7,6.20,3242
nm0001129,31,99.1,6.48,1731017
nm0001130,7,108.0,6.87,349873
nm0001131,1,100.0,5.80,54
nm0001135,9,91.1,4.23,13234
nm0001139,8,95.1,6.61,47535
nm0001149,21,115.9,6.70,1912138
nm0001152,3,81.0,5.53,777
nm0001162,8,100.0,5.79,225483
nm0001165,2,97.5,3.55,7114
nm0001168,2,144.5,6.90,889
nm0001175,37,108.5,6.33,506931
nm0001177,2,93.0,5.55,3864
nm0001178,22,100.3,7.25,95565
nm0001188,8,107.6,5.95,586628
nm0001192,2,90.5,5.75,1251
nm0001196,2,65.0,5.85,39
nm0001202,25,106.1,7.19,100791
nm0001204,2,91.0,5.90,3068
nm0001206,29,90.6,5.86,153243
nm0001207,7,100.6,6.50,4545
nm0001209,1,100.0,6.00,441
nm0001211,1,66.0,7.50,1079
nm0001214,20,99.3,6.05,188462
nm0001215,1,89.0,6.40,607
nm0001219,7,113.6,6.69,377739
nm0001224,1,50.0,6.30,68
nm0001226,13,103.2,6.05,419425
nm0001228,3,94.3,5.97,4897
nm0001232,16,109.9,7.30,1588548
nm0001233,1,98.0,5.00,67
nm0001238,187,87.3,4.98,68670
nm0001239,29,117.3,6.44,433392
nm0001241,24,103.3,6.73,724746
nm0001243,21,106.0,6.38,770587
nm0001252,4,95.8,5.95,60983
nm0001262,1,96.0,6.60,12
nm0001270,5,105.2,6.52,67330
nm0001273,1,50.0,6.80,47
nm0001274,5,102.2,5.68,192289
nm0001281,6,94.0,6.37,124731
nm0001282,4,106.5,6.58,113781
nm0001287,1,94.0,4.60,1152
nm0001290,1,120.0,6.80,2938
nm0001293,1,86.0,5.70,1566
nm0001298,1,77.0,5.30,852
nm0001302,8,90.1,6.66,148338
nm0001306,1,87.0,4.10,1753
nm0001309,1,100.0,3.20,1016
nm0001317,21,106.2,5.68,1093218
nm0001321,1,97.0,5.90,84
nm0001325,14,90.8,6.52,46037
nm0001328,47,103.6,6.98,528226
nm0001331,8,115.5,6.99,323752
nm0001338,5,118.8,6.72,557969
nm0001345,3,97.0,7.27,197667
nm0001348,41,96.0,7.16,549852
nm0001351,14,120.4,6.96,555005
nm0001352,4,105.3,5.55,9400
nm0001353,21,97.5,6.42,572337
nm0001355,14,101.7,6.50,221021
nm0001360,1,84.0,6.50,58
nm0001361,16,95.9,5.31,382770
nm0001364,3,95.0,5.60,1916
nm0001366,4,106.5,7.03,11120
nm0001367,1,138.0,5.30,631
nm0001370,1,100.0,6.90,31
nm0001372,1,115.0,6.90,19475
nm0001378,2,95.0,7.00,6071
nm0001379,44,108.0,6.79,705242
nm0001382,20,103.6,5.99,421723
nm0001384,1,106.0,7.20,3310
nm0001385,1,162.0,7.70,2353
nm0001392,14,139.6,7.63,7393207
nm0001401,5,118.4,5.78,213078
nm0001402,8,93.9,6.99,1027906
nm0001403,18,108.7,6.68,647378
nm0001405,2,102.5,5.00,10458
nm0001407,1,47.0,9.30,10
nm0001408,8,132.0,7.08,257925
nm0001410,11,123.3,6.60,335069
nm0001411,2,86.0,5.30,404
nm0001415,19,116.1,7.35,385364
nm0001418,3,109.3,4.27,3265
nm0001424,1,,8.20,13
nm0001425,13,102.9,7.55,337917
nm0001427,1,106.0,5.50,596
nm0001428,2,89.0,5.25,1752
nm0001429,19,108.6,7.03,211940
nm0001433,1,90.0,7.80,18
nm0001437,14,125.4,7.34,218975
nm0001438,11,99.5,5.93,239745
nm0001441,1,109.0,7.10,5362
nm0001444,1,90.0,3.90,442
nm0001446,1,104.0,6.50,160
nm0001452,2,94.5,6.90,81658
nm0001454,1,108.0,5.70,4280
nm0001460,5,118.2,6.48,386686
nm0001466,8,143.0,7.61,1740981
nm0001467,1,103.0,8.10,4479
nm0001469,25,114.4,6.43,1357502
nm0001471,13,96.8,5.93,33511
nm0001472,1,92.0,5.70,1808
nm0001486,44,119.2,6.70,1557924
nm0001490,8,116.0,6.54,454622
nm0001500,2,101.5,7.20,4498
nm0001501,24,104.6,6.98,173404
nm0001502,13,108.3,6.28,120751
nm0001505,1,98.0,6.10,616
nm0001507,2,69.0,5.40,6498
nm0001508,7,120.1,6.66,482530
nm0001515,1,90.0,6.40,1186
nm0001522,1,106.0,6.20,415
nm0001526,1,97.0,5.60,65
nm0001528,4,104.3,6.40,26372
nm0001532,11,112.7,6.55,2124724
nm0001536,1,97.0,7.00,104
nm0001537,5,95.2,6.24,5510
nm0001548,1,90.0,6.70,15528
nm0001554,13,91.3,7.17,82466
nm0001555,1,97.0,6.20,796
nm0001557,1,112.0,6.00,768
nm0001565,18,115.2,6.61,1409696
nm0001566,19,110.9,6.77,973093
nm0001568,1,101.0,5.50,1399
nm0001570,2,136.0,6.55,88007
nm0001579,3,111.0,6.50,8244
nm0001587,16,117.3,6.53,367933
nm0001590,1,96.0,6.20,8913
nm0001591,2,103.5,5.55,9556
nm0001592,2,72.0,7.30,75
nm0001596,23,103.1,6.99,138442
nm0001603,14,115.2,6.98,283795
nm0001604,1,,6.60,16
nm0001606,1,,6.10,8
nm0001609,1,86.0,7.00,225
nm0001614,2,93.0,6.70,5033
nm0001616,1,95.0,5.60,3441
nm0001617,3,101.5,4.87,894
nm0001627,9,107.1,6.16,43052
nm0001628,21,119.5,6.87,617657
nm0001629,2,92.0,5.75,9020
nm0001631,3,111.3,7.17,60598
nm0001639,7,109.0,6.61,1172230
nm0001640,2,90.0,6.85,3622
nm0001641,3,93.7,6.20,11756
nm0001650,2,97.0,7.45,3650
nm0001659,1,87.0,5.70,7917
nm0001661,20,100.2,6.81,2017490
nm0001672,1,84.0,3.00,672
nm0001674,3,97.0,5.80,60021
nm0001675,20,103.7,6.08,2905621
nm0001676,16,106.0,6.34,171190
nm0001681,17,105.3,6.32,554264
nm0001682,3,80.0,5.70,361
nm0001692,23,105.5,6.26,123008
nm0001699,1,88.0,4.50,52
nm0001700,7,94.4,6.49,10806
nm0001703,6,94.5,6.85,2324
nm0001705,2,103.0,5.35,43992
nm0001707,22,107.1,6.14,206229
nm0001708,23,109.0,6.27,1951307
nm0001709,16,114.5,5.06,68988
nm0001710,2,103.0,6.75,106190
nm0001714,4,109.3,7.28,22051
nm0001715,2,107.0,5.95,1130
nm0001716,18,110.3,6.68,2374049
nm0001723,9,95.6,6.59,1314934
nm0001724,1,96.0,6.00,154
nm0001729,1,96.0,3.70,1611
nm0001731,2,96.0,5.10,1688
nm0001735,1,88.0,3.60,126
nm0001736,3,83.0,5.20,5176
nm0001738,2,91.0,4.40,1030
nm0001741,11,122.2,7.03,4195803
nm0001747,9,100.4,6.41,81209
nm0001752,32,105.9,6.64,2945598
nm0001754,9,98.4,6.52,148830
nm0001756,11,96.6,6.31,1733210
nm0001757,2,100.0,4.90,2463
nm0001770,9,91.9,6.36,84341
nm0001771,1,97.0,5.40,52
nm0001774,6,101.2,6.37,1169690
nm0001775,5,100.2,6.64,59053
nm0001777,1,88.0,6.00,621
nm0001779,1,117.0,7.40,20672
nm0001781,2,,6.70,31
nm0001789,10,122.3,7.81,362479
nm0001800,1,96.0,4.50,876
nm0001801,4,118.3,6.35,46610
nm0001804,5,96.8,6.46,29624
nm0001806,7,102.3,5.91,42378
nm0001811,8,110.0,6.56,6298
nm0001814,21,104.7,6.63,1591561
nm0001824,2,75.0,7.05,345
nm0001828,2,84.0,5.15,81
nm0001829,3,84.0,6.27,4127
nm0001834,1,104.0,6.10,96
nm0001837,16,105.8,6.91,1904035
nm0001843,21,85.5,6.77,161852
nm0001844,4,99.0,5.95,7893
nm0001845,3,114.7,5.70,54606
nm0001847,1,112.0,6.00,211
nm0001857,2,101.0,4.90,9111
nm0001866,2,84.5,5.75,112
nm0001873,3,117.3,6.73,79852
nm0001874,16,111.9,6.59,101441
nm0001878,11,88.0,5.97,958943
nm0001879,1,90.0,4.80,133
nm0001880,13,124.3,6.98,1783734
nm0001884,1,96.0,5.60,142
nm0001885,17,119.8,7.01,947003
nm0001887,2,107.0,6.70,82294
nm0001888,1,65.0,4.90,245
nm0001890,1,70.0,4.80,49
nm0001900,1,95.0,4.60,153
nm0001901,24,101.0,6.68,20811
nm0001904,3,86.7,4.23,2347
nm0001905,24,96.0,6.29,3021
nm0001908,3,65.0,5.93,42
nm0001910,1,45.0,5.80,72
nm0001915,6,92.5,6.23,321229
nm0001928,33,95.6,6.42,77576
nm0001929,8,96.4,5.45,7578
nm0001942,6,92.7,4.57,10372
nm0001945,23,100.7,6.22,72636
nm0001949,3,107.3,6.63,5806
nm0001953,1,96.0,6.30,111
nm0001960,1,97.0,6.40,343
nm0001962,5,92.4,5.92,2874
nm0001970,4,104.7,6.60,427
nm0001988,3,97.7,6.67,149619
nm0001994,12,113.7,6.50,330882
nm0002002,1,107.0,6.20,86
nm0002006,1,89.0,6.20,2235
nm0002010,1,103.0,5.70,1469
nm0002015,1,80.0,8.50,6
nm0002016,4,93.3,6.15,1777
nm0002017,1,90.0,4.50,78
nm0002020,22,115.5,6.87,122946
nm0002021,1,114.0,7.20,5115
nm0002030,60,104.7,6.71,998524
nm0002031,170,93.4,5.83,811987
nm0002040,1,65.0,5.30,28
nm0002041,2,109.5,5.85,110532
nm0002044,19,108.3,6.51,846767
nm0002045,28,101.3,6.51,428129
nm0002049,15,77.5,5.61,9411
nm0002055,2,99.0,6.20,4841
nm0002061,77,83.6,5.86,5917
nm0002064,2,101.5,5.55,5126
nm0002072,7,84.4,6.27,8396
nm0002076,1,94.0,5.30,2004
nm0002077,4,106.3,7.13,230930
nm0002080,5,122.0,7.40,100650
nm0002083,9,100.7,5.90,134827
nm0002086,50,94.2,5.92,134918
nm0002087,24,91.5,6.78,90438
